,Emi Hinouchi,Musician,Female
,Emi Maria,Musician,Female
,Emyli,Musician,Female
,Garnet Crow,Musician,Female
,Goto Maki,Musician,Female
,Hagiwara Mai,Musician,Female
,Halna,Musician,Female
,Hikaru Nishida,Musician,Female
,Hiro,Musician,Female
,Hiroko Anzai,Musician,Female
,Hiroko Shimabukuro,Musician,Female
,hitomi,Musician,Female
,Ikue Sakakibara,Musician,Female
,Imai Eriko,Musician,Female
,JASMINE,Musician,Female
,Jun Natsukawa,Musician,Female
,Junko Sakurada,Musician,Female
,JYONGRI,Musician,Female
,Kiyoe Yoshioka,Musician,Female
,Kanako Enomoto,Musician,Female
,Kanbe Miyuki,Musician,Female
,Kanon Wakeshima,Musician,Female
,Kawabe Chieco,Musician,Female
,Kawase Tomoko,Musician,Female
,Keiko Kitagawa,Musician,Female
,Kumi Koda,Musician,Female
,Kusumi Koharu,Musician,Female
,Kyary Pamyu Pamyu,Musician,Female
,Lia,Musician,Female
,Lisa Yamaguchi,Musician,Female
,Maaya Sakamoto,Musician,Female
,Maeda Atsuko,Musician,Female
,May J.,Musician,Female
,Mari Amachi,Musician,Female
,Masako Mori,Musician,Female
,Meisa Kuroki,Musician,Female
,Megumi Odaka,Musician,Female
,Megumi,Musician,Female
,Megumi Hayashibara,Musician,Female
,Melody.,Musician,Female
,Mew Azama,Musician,Female
,MiCHi,Musician,Female
,Mihiro Taniguchi,Musician,Female
,Miho Komatsu,Musician,Female
,Miho Nakayama,Musician,Female
,Miho Yoshioka,Musician,Female
,Miki Fujimoto,Musician,Female
,Miliyah Kato,Musician,Female
,MINMI,Musician,Female
,Minori Chihara,Musician,Female
,Miyu Sawai,Musician,Female
,Mizuki Nana,Musician,Female
,Momoe Yamaguchi,Musician,Female
,Momoiro Clover Z,Musician,Female
,Myco,Musician,Female
,Mika Nakashima,Musician,Female
,Namie Amuro,Musician,Female
,Natsuyaki Miyabi,Musician,Female
,Noriko Sakai,Musician,Female
,Reina Tanaka,Musician,Female
,Reon Kadena,Musician,Female
,Ribbon,Musician,Female
,Ryōko Hirosue,Musician,Female
,Saori Minami,Musician,Female
,Sayaka,Musician,Female
,Sayumi Michishige,Musician,Female
,Seiko Matsuda,Musician,Female
,Shoko Nakagawa,Musician,Female
,Takako Ohta,Musician,Female
,Takako Uehara,Musician,Female
,Thelma Aoyama,Musician,Female
,Tomomi Itano,Musician,Female
,Tsugunaga Momoko,Musician,Female
,Utada Hikaru,Musician,Female
,Waka Inoue,Musician,Female
,Yajima Maimi,Musician,Female
,Yui,Musician,Female
,Yui Makino,Musician,Female
,Yukiko Okada,Musician,Female
,Yuko Ogura,Musician,Female
,Yuna Ito,Musician,Female
